日期时间,代码,中文名称,英文名称,交易类型,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,买一,卖一,成交额_数值
2026/02/27 16:08:22,00700,腾讯控股,TENCENT,,518.0,6.0,1.17188,512.0,510.5,530.5,510.5,32229030,16775665867,518.0,518.5,16775665867
2026/02/27 16:08:20,09988,阿里巴巴－Ｗ,BABA-W,,142.89999,-0.10001,-0.06993,143.0,143.0,145.5,142.2,88719769,12741757997,142.89999,143.0,12741757997
2026/02/27 16:08:22,06869,长飞光纤光缆,YOFC,,148.8,13.6,10.05917,135.2,129.0,149.7,123.4,63201722,9100703076,148.5,148.8,9100703076
2026/02/27 16:08:20,00020,商汤－Ｗ,SENSETIME-W,,2.56,0.12,4.91803,2.44,2.54,2.64,2.45,3144756135,8053865981,2.55,2.56,8053865981
2026/02/27 16:08:22,01810,小米集团－Ｗ,XIAOMI-W,,34.9,-0.28,-0.7959,35.18,34.9,35.24,34.62,136362387,4764422039,34.9,34.92,4764422039
2026/02/27 16:08:22,03690,美团－Ｗ,MEITUAN-W,,81.15,0.7,0.87011,80.45,81.0,82.45,80.45,42462533,3462342574,81.15,81.2,3462342574
2026/02/27 16:08:24,02318,中国平安,PING AN,,68.0,0.15,0.22108,67.85,68.6,68.6,67.9,39693661,2703324709,68.0,68.05,2703324709
2026/02/27 16:08:22,01024,快手－Ｗ,KUAISHOU-W,,62.85,-0.75,-1.17925,63.6,63.6,64.1,62.1,42879063,2701375596,62.85,62.9,2701375596
2026/02/27 16:08:22,00005,汇丰控股,HSBC HOLDINGS,,147.3,2.3,1.58621,145.0,146.8,147.8,145.8,18075411,2656255983,147.2,147.3,2656255983
2026/02/27 16:08:20,00100,MINIMAX-WP,MINIMAX-WP,,763.5,-25.0,-3.17058,788.5,777.0,777.5,665.0,3608541,2599182923,763.5,764.0,2599182923
2026/02/27 16:08:24,09888,百度集团－ＳＷ,BIDU-SW,,123.7,0.3,0.24311,123.4,122.1,125.5,122.0,20239933,2504632437,123.7,123.8,2504632437
2026/02/27 16:08:22,00388,香港交易所,HKEX,,419.0,3.6,0.86664,415.4,415.4,421.4,415.0,5886748,2462779595,418.79999,419.0,2462779595
2026/02/27 16:08:22,00981,中芯国际,SMIC,,68.0,0.4,0.59172,67.6,67.6,69.0,66.45,36167811,2461828304,67.95,68.0,2461828304
2026/02/27 16:08:22,00939,建设银行,CCB,,7.99,-0.01,-0.125,8.0,8.0,8.03,7.89,288324734,2296804360,7.99,8.01,2296804360
2026/02/27 16:08:22,00016,新鸿基地产,SHK PPT,,146.0,9.7,7.11665,136.3,136.3,146.5,134.9,15947880,2296308828,146.0,146.10001,2296308828
2026/02/27 16:08:20,09961,携程集团－Ｓ,TRIP.COM-S,,411.39999,10.99999,2.74725,400.4,408.0,415.6,405.2,5551715,2278290749,411.39999,411.60001,2278290749
2026/02/27 16:08:22,09999,网易－Ｓ,NTES-S,,179.2,4.2,2.4,175.0,175.2,180.3,175.2,12473485,2227067623,179.2,179.3,2227067623
2026/02/27 16:08:20,01299,友邦保险,AIA,,86.8,2.1,2.47934,84.7,85.75,86.8,85.05,25005665,2161243940,86.7,86.8,2161243940
2026/02/27 16:08:24,02899,紫金矿业,ZIJIN MINING,,45.0,0.52,1.16907,44.48,44.98,45.46,44.22,47910544,2156991357,45.0,45.08,2156991357
2026/02/27 16:08:22,02513,智谱,KNOWLEDGE ATLAS,,575.0,18.5,3.32435,556.5,540.0,592.0,482.0,3914912,2105830806,575.0,575.5,2105830806
2026/02/27 16:08:22,02525,禾赛－Ｗ,HESAI-W,,219.60001,9.20001,4.37263,210.4,210.4,220.0,210.4,9559154,2096253855,219.0,219.60001,2096253855
2026/02/27 16:08:22,09992,泡泡玛特,POP MART,,229.8,4.6,2.04263,225.2,226.8,232.0,226.0,8908117,2045195729,229.8,230.0,2045195729
2026/02/27 16:08:22,03750,宁德时代,CATL,,496.0,-2.4,-0.48154,498.4,498.6,508.0,487.2,4071385,2014742418,495.60001,496.0,2014742418
2026/02/27 16:08:20,01211,比亚迪股份,BYD COMPANY,,94.95,0.0,0.0,94.95,94.9,95.7,93.6,21042119,1994304263,94.9,94.95,1994304263
2026/02/27 16:08:20,02026,小马智行－Ｗ,PONY-W,,118.5,10.8,10.02786,107.7,109.6,118.5,109.6,16221555,1911689514,118.2,118.5,1911689514
2026/02/27 16:08:20,01398,工商银行,ICBC,,6.45,0.03,0.46729,6.42,6.4,6.49,6.28,284474719,1823517993,6.45,6.46,1823517993
2026/02/27 16:08:20,00883,中国海洋石油,CNOOC,,25.32,0.66,2.6764,24.66,24.6,25.32,24.3,71881030,1779601357,25.3,25.32,1779601357
2026/02/27 16:08:24,02628,中国人寿,CHINA LIFE,,31.58,0.2,0.63735,31.38,31.4,31.96,31.38,52153713,1648618986,31.58,31.6,1648618986
